unique_id,provider_id_housing_entry,housing_entry_date,housing_entry_accommodation
OT-83,,2022-12-07,RLA
QP-86,,2022-12-05,RLA
JV-17,,2022-12-12,other
LF-18,,2023-01-01,RPC
TH-78,,2022-11-09,other
ES-53,,2022-12-03,RPC
FI-70,process,2023-01-01,RPC
NL-94,still,2022-10-26,RPC
JC-47,safe,2022-11-29,other
FE-53,piece,2022-11-28,RPC
TV-59,,2023-01-10,other
XW-30,,2023-01-06,other
YU-67,special,2023-01-15,RLA
OR-06,look,2022-11-03,RLA
MG-14,certainly,2022-12-16,RLA
JH-86,,2022-12-24,RPC
IK-40,player,2022-12-03,RPC
ZS-04,time,2022-11-21,RPC
PE-44,feel,2022-11-24,other
OM-13,,2023-01-05,other
PO-96,,2023-01-16,other
RC-47,will,2022-12-25,RPC
PM-37,,2022-11-09,other
PD-33,,2022-11-06,other
OM-43,,2022-10-27,RLA
CM-00,friend,2022-12-01,RPC
YM-26,,2023-01-21,RLA
VF-98,,2022-12-27,RLA
OB-79,,2022-12-02,RLA
BS-03,,2022-12-18,RLA
QC-66,top,2022-12-26,RLA
GT-63,serious,2022-12-09,RPC
YR-20,,2022-11-04,RLA
IX-14,,2022-12-12,RLA
ZH-95,themselves,2023-01-09,other
HM-43,,2022-12-02,RPC
DK-94,,2023-01-03,other
JQ-39,of,2023-01-09,RLA
OJ-15,give,2023-01-16,RLA
QH-38,,2022-12-21,RLA
FD-76,,2022-12-21,other
PI-97,hospital,2022-12-24,RPC
BO-12,sound,2022-11-21,RLA
QI-92,skill,2023-01-11,RPC
VB-63,,2022-11-01,RLA
MU-65,,2022-10-30,other
LQ-50,recently,2022-12-26,RLA
NN-11,,2023-01-18,other
PN-22,full,2023-01-18,RPC
LC-36,,2022-11-13,RPC
AU-81,,2022-12-26,RLA
XF-78,everything,2022-12-20,RPC
KY-42,personal,2022-12-20,other
GS-67,pull,2022-11-15,RPC
LJ-69,total,2022-12-11,RLA
AL-94,,2022-12-06,RLA
FP-94,,2023-01-22,RPC
GE-81,,2023-01-06,RPC
ZL-18,,2022-11-01,RPC
EI-58,,2023-01-05,other
FM-89,,2023-01-16,other
JE-18,structure,2023-01-18,other
ML-74,agency,2022-11-27,RPC
OT-19,economy,2022-12-19,RLA
NU-66,,2022-12-08,RLA
OU-47,fish,2023-01-19,RLA
XC-80,hundred,2023-01-20,RPC
OE-47,onto,2022-10-29,other
DV-83,,2022-12-11,RPC
BJ-78,how,2022-11-26,other
FK-64,,2023-01-24,RPC
IP-97,indicate,2022-11-21,RPC
OL-85,involve,2022-11-24,RPC
CK-61,us,2022-11-02,RPC
CZ-69,,2022-12-27,RPC
YM-06,way,2022-11-01,other
PZ-55,,2022-12-30,RPC
QK-67,wife,2022-11-27,other
SD-52,,2022-11-23,other
NX-68,already,2022-11-17,RPC
VC-27,,2022-12-13,other
FE-41,,2022-11-01,RLA
HF-74,according,2023-01-10,RLA
CE-61,,2022-11-13,RLA
UX-09,group,2022-12-10,RPC
YL-89,,2022-11-12,RLA
TI-19,,2022-10-29,other
AY-18,,2023-01-01,RLA
LV-43,maybe,2022-12-17,other
TF-68,baby,2022-12-13,other
JW-46,,2022-11-20,RLA
KJ-81,,2022-12-05,other
TF-16,,2023-01-20,RLA
HJ-27,,2022-10-30,RLA
EP-55,,2023-01-04,RLA
DD-34,size,2022-12-12,other
ZQ-08,,2022-11-16,RLA
FZ-46,,2023-01-22,RPC
TF-80,,2022-12-11,RPC
NK-05,,2022-11-15,other
OX-30,strategy,2022-12-19,RPC
LM-45,win,2023-01-25,RLA
MF-80,,2022-10-28,RPC
UJ-70,,2023-01-20,other
HX-97,,2022-11-30,RLA
SH-29,,2022-11-10,other
EU-00,every,2022-12-18,RPC
ZF-11,available,2022-12-09,RPC
FV-43,middle,2022-12-29,RPC
QK-51,,2022-12-10,RPC
MU-93,free,2022-12-19,RLA
GA-76,week,2022-12-18,RPC
IZ-19,everybody,2022-12-04,other
FD-46,,2022-12-29,RPC
SL-24,once,2022-12-22,other
NQ-28,,2023-01-09,RLA
DH-78,,2022-12-20,RPC
YK-55,,2022-11-21,RLA
BR-72,,2023-01-22,RLA
AS-46,,2022-11-08,RLA
EB-25,any,2022-11-15,other
RO-20,,2022-11-30,RLA
QH-84,performance,2022-11-24,RLA
VS-86,bank,2022-11-23,RLA
MS-11,spend,2022-12-14,RLA
ED-13,,2022-11-22,other
AZ-55,,2022-11-17,RPC
HD-17,station,2022-11-11,RLA
